가입일자,사용자코드,연령대코드,성별,가입 수
18-07-20,회원-내국인,10대,,221
18-07-20,회원-내국인,20대,,1189
18-07-20,회원-내국인,30대,,348
18-07-20,회원-내국인,40대,,201
18-07-20,회원-내국인,50대,,91
18-07-20,회원-내국인,60대,,16
18-07-20,회원-내국인,70대이상,,3
18-07-21,회원-내국인,10대,,270
18-07-21,회원-내국인,20대,,1329
18-07-21,회원-내국인,30대,,385
18-07-21,회원-내국인,40대,,184
18-07-21,회원-내국인,50대,,83
18-07-21,회원-내국인,60대,,17
18-07-21,회원-내국인,70대이상,,2
18-07-22,회원-내국인,10대,,247
18-07-22,회원-내국인,20대,,1169
18-07-22,회원-내국인,30대,,316
18-07-22,회원-내국인,40대,,149
18-07-22,회원-내국인,50대,,57
18-07-22,회원-내국인,60대,,10
18-07-22,회원-내국인,70대이상,,1
18-07-23,회원-내국인,10대,,221
18-07-23,회원-내국인,20대,,967
18-07-23,회원-내국인,30대,,268
18-07-23,회원-내국인,40대,,128
18-07-23,회원-내국인,50대,,41
18-07-23,회원-내국인,60대,,17
18-07-23,회원-내국인,70대이상,,1
18-07-24,회원-내국인,10대,,195
18-07-24,회원-내국인,20대,,893
18-07-24,회원-내국인,30대,,235
18-07-24,회원-내국인,40대,,132
18-07-24,회원-내국인,50대,,53
18-07-24,회원-내국인,60대,,10
18-07-24,회원-내국인,70대이상,,6
18-07-25,회원-내국인,10대,,201
18-07-25,회원-내국인,20대,,896
18-07-25,회원-내국인,30대,,266
18-07-25,회원-내국인,40대,,160
18-07-25,회원-내국인,50대,,74
18-07-25,회원-내국인,60대,,5
18-07-25,회원-내국인,70대이상,,4
18-07-26,회원-내국인,10대,,197
18-07-26,회원-내국인,20대,,882
18-07-26,회원-내국인,30대,,270
18-07-26,회원-내국인,40대,,153
18-07-26,회원-내국인,50대,,75
18-07-26,회원-내국인,60대,,14
18-07-26,회원-내국인,70대이상,,1
18-07-27,회원-내국인,10대,,169
18-07-27,회원-내국인,20대,,751
18-07-27,회원-내국인,30대,,230
18-07-27,회원-내국인,40대,,130
18-07-27,회원-내국인,50대,,58
18-07-27,회원-내국인,60대,,9
18-07-27,회원-내국인,70대이상,,5
18-07-28,회원-내국인,10대,,169
18-07-28,회원-내국인,20대,,834
18-07-28,회원-내국인,30대,,205
18-07-28,회원-내국인,40대,,110
18-07-28,회원-내국인,50대,,86
18-07-28,회원-내국인,60대,,10
18-07-28,회원-내국인,70대이상,,3
18-07-29,회원-내국인,10대,,225
18-07-29,회원-내국인,20대,,1177
18-07-29,회원-내국인,30대,,298
18-07-29,회원-내국인,40대,,144
18-07-29,회원-내국인,50대,,54
18-07-29,회원-내국인,60대,,16
18-07-29,회원-내국인,70대이상,,4
18-07-30,회원-내국인,10대,,203
18-07-30,회원-내국인,20대,,986
18-07-30,회원-내국인,30대,,286
18-07-30,회원-내국인,40대,,145
18-07-30,회원-내국인,50대,,59
18-07-30,회원-내국인,60대,,14
18-07-30,회원-내국인,70대이상,,3
18-07-31,회원-내국인,10대,,173
18-07-31,회원-내국인,20대,,870
18-07-31,회원-내국인,30대,,237
18-07-31,회원-내국인,40대,,117
18-07-31,회원-내국인,50대,,60
18-07-31,회원-내국인,60대,,5
18-07-31,회원-내국인,70대이상,,1
18-08-01,회원-내국인,10대,,134
18-08-01,회원-내국인,20대,,676
18-08-01,회원-내국인,30대,,185
18-08-01,회원-내국인,40대,,103
18-08-01,회원-내국인,50대,,46
18-08-01,회원-내국인,60대,,6
18-08-01,회원-내국인,70대이상,,3
18-08-02,회원-내국인,10대,,148
18-08-02,회원-내국인,20대,,670
18-08-02,회원-내국인,30대,,195
18-08-02,회원-내국인,40대,,99
18-08-02,회원-내국인,50대,,49
18-08-02,회원-내국인,60대,,6
18-08-02,회원-내국인,70대이상,,6
18-08-03,회원-내국인,10대,,157
18-08-03,회원-내국인,20대,,691
18-08-03,회원-내국인,30대,,177
18-08-03,회원-내국인,40대,,110
18-08-03,회원-내국인,50대,,48
18-08-03,회원-내국인,60대,,8
18-08-03,회원-내국인,70대이상,,1
18-08-04,회원-내국인,10대,,222
18-08-04,회원-내국인,20대,,957
18-08-04,회원-내국인,30대,,253
18-08-04,회원-내국인,40대,,107
18-08-04,회원-내국인,50대,,59
18-08-04,회원-내국인,60대,,13
18-08-04,회원-내국인,70대이상,,2
18-08-05,회원-내국인,10대,,190
18-08-05,회원-내국인,20대,,993
18-08-05,회원-내국인,30대,,273
18-08-05,회원-내국인,40대,,121
18-08-05,회원-내국인,50대,,49
18-08-05,회원-내국인,60대,,9
18-08-05,회원-내국인,70대이상,,1
18-08-06,회원-내국인,10대,,150
18-08-06,회원-내국인,20대,,686
18-08-06,회원-내국인,30대,,187
18-08-06,회원-내국인,40대,,96
18-08-06,회원-내국인,50대,,29
18-08-06,회원-내국인,60대,,12
18-08-06,회원-내국인,70대이상,,1
18-08-07,회원-내국인,10대,,174
18-08-07,회원-내국인,20대,,755
18-08-07,회원-내국인,30대,,226
18-08-07,회원-내국인,40대,,121
18-08-07,회원-내국인,50대,,60
18-08-07,회원-내국인,60대,,12
18-08-07,회원-내국인,70대이상,,4
18-08-08,회원-내국인,10대,,177
18-08-08,회원-내국인,20대,,798
18-08-08,회원-내국인,30대,,237
18-08-08,회원-내국인,40대,,116
18-08-08,회원-내국인,50대,,51
18-08-08,회원-내국인,60대,,14
18-08-08,회원-내국인,70대이상,,1
18-08-09,회원-내국인,10대,,135
18-08-09,회원-내국인,20대,,559
18-08-09,회원-내국인,30대,,175
18-08-09,회원-내국인,40대,,98
18-08-09,회원-내국인,50대,,44
18-08-09,회원-내국인,60대,,10
18-08-09,회원-내국인,70대이상,,3
18-08-10,회원-내국인,10대,,170
18-08-10,회원-내국인,20대,,775
18-08-10,회원-내국인,30대,,194
18-08-10,회원-내국인,40대,,99
18-08-10,회원-내국인,50대,,52
18-08-10,회원-내국인,60대,,6
18-08-10,회원-내국인,70대이상,,2
18-08-11,회원-내국인,10대,,242
18-08-11,회원-내국인,20대,,1174
18-08-11,회원-내국인,30대,,341
18-08-11,회원-내국인,40대,,138
18-08-11,회원-내국인,50대,,82
18-08-11,회원-내국인,60대,,12
18-08-11,회원-내국인,70대이상,,2
18-08-12,회원-내국인,10대,,211
18-08-12,회원-내국인,20대,,1113
