가입일자,사용자코드,연령대코드,성별,가입 수
'2018-01-01','회원-내국인','~10대','F',7
'2018-01-01','회원-내국인','~10대','M',9
'2018-01-01','회원-내국인','20대','F',58
'2018-01-01','회원-내국인','20대','M',81
'2018-01-01','회원-내국인','30대','F',32
'2018-01-01','회원-내국인','30대','M',46
'2018-01-01','회원-내국인','40대','F',19
'2018-01-01','회원-내국인','40대','M',26
'2018-01-01','회원-내국인','50대','F',9
'2018-01-01','회원-내국인','50대','M',8
'2018-01-01','회원-내국인','60대','F',3
'2018-01-01','회원-내국인','60대','M',4
'2018-01-02','회원-내국인','~10대','F',6
'2018-01-02','회원-내국인','~10대','M',6
'2018-01-02','회원-내국인','20대','F',39
'2018-01-02','회원-내국인','20대','M',74
'2018-01-02','회원-내국인','30대','F',15
'2018-01-02','회원-내국인','30대','M',37
'2018-01-02','회원-내국인','40대','F',12
'2018-01-02','회원-내국인','40대','M',32
'2018-01-02','회원-내국인','50대','F',6
'2018-01-02','회원-내국인','50대','M',13
'2018-01-02','회원-내국인','60대','M',5
'2018-01-02','회원-내국인','70대~','F',1
'2018-01-03','회원-내국인','~10대','F',2
'2018-01-03','회원-내국인','~10대','M',3
'2018-01-03','회원-내국인','20대','F',34
'2018-01-03','회원-내국인','20대','M',35
'2018-01-03','회원-내국인','30대','F',20
'2018-01-03','회원-내국인','30대','M',24
'2018-01-03','회원-내국인','40대','F',17
'2018-01-03','회원-내국인','40대','M',40
'2018-01-03','회원-내국인','50대','F',8
'2018-01-03','회원-내국인','50대','M',18
'2018-01-03','회원-내국인','60대','M',3
'2018-01-03','회원-내국인','70대~','M',1
'2018-01-04','회원-내국인','~10대','F',3
'2018-01-04','회원-내국인','~10대','M',5
'2018-01-04','회원-내국인','20대','F',32
'2018-01-04','회원-내국인','20대','M',41
'2018-01-04','회원-내국인','30대','F',14
'2018-01-04','회원-내국인','30대','M',19
'2018-01-04','회원-내국인','40대','F',5
'2018-01-04','회원-내국인','40대','M',28
'2018-01-04','회원-내국인','50대','F',5
'2018-01-04','회원-내국인','50대','M',12
'2018-01-04','회원-내국인','60대','F',1
'2018-01-04','회원-내국인','60대','M',4
'2018-01-05','회원-내국인','~10대','F',11
'2018-01-05','회원-내국인','~10대','M',3
'2018-01-05','회원-내국인','20대','F',35
'2018-01-05','회원-내국인','20대','M',43
'2018-01-05','회원-내국인','30대','F',23
'2018-01-05','회원-내국인','30대','M',22
'2018-01-05','회원-내국인','40대','F',12
'2018-01-05','회원-내국인','40대','M',16
'2018-01-05','회원-내국인','50대','F',3
'2018-01-05','회원-내국인','50대','M',8
'2018-01-05','회원-내국인','60대','F',1
'2018-01-05','회원-내국인','60대','M',6
