날짜,강수량(mm)
18-01-01,
18-01-02,
18-01-03,
18-01-04,
18-01-05,
18-01-06,
18-01-07,
18-01-08,0.9
18-01-09,0.5
18-01-10,0.3
18-01-11,
18-01-12,0
18-01-13,0.4
18-01-14,
18-01-15,0.2
18-01-16,0
18-01-17,
18-01-18,0
18-01-19,
18-01-20,
18-01-21,
18-01-22,3.3
18-01-23,
18-01-24,
18-01-25,
18-01-26,
18-01-27,
18-01-28,
18-01-29,
18-01-30,2.9
18-01-31,0
18-02-01,
18-02-02,
18-02-03,0.5
18-02-04,
18-02-05,
18-02-06,
18-02-07,
18-02-08,
18-02-09,
18-02-10,
18-02-11,0
18-02-12,0
18-02-13,
18-02-14,
18-02-15,
18-02-16,
18-02-17,
18-02-18,
18-02-19,
18-02-20,
18-02-21,
18-02-22,0.4
18-02-23,3.7
18-02-24,
18-02-25,
18-02-26,
18-02-27,
18-02-28,25
18-03-01,0.5
18-03-02,
18-03-03,0
18-03-04,11.5
18-03-05,3.5
18-03-06,
18-03-07,0.5
18-03-08,4
18-03-09,
18-03-10,
18-03-11,
18-03-12,
18-03-13,
18-03-14,
18-03-15,27
18-03-16,
18-03-17,
18-03-18,0.5
18-03-19,1
18-03-20,
18-03-21,1
18-03-22,
18-03-23,
18-03-24,
18-03-25,
18-03-26,
18-03-27,
18-03-28,
18-03-29,
18-03-30,
18-03-31,
18-04-01,
18-04-02,
18-04-03,0.1
18-04-04,18.5
18-04-05,10.5
18-04-06,6.5
18-04-07,0.2
18-04-08,3
18-04-09,
18-04-10,5
18-04-11,
18-04-12,
18-04-13,
18-04-14,9
18-04-15,
18-04-16,
18-04-17,
18-04-18,
18-04-19,
18-04-20,
18-04-21,
18-04-22,15.5
18-04-23,59
18-04-24,3
18-04-25,
18-04-26,
18-04-27,
18-04-28,
18-04-29,
18-04-30,
18-05-01,0
18-05-02,12
18-05-03,1
18-05-04,
18-05-05,
18-05-06,22
18-05-07,
18-05-08,
18-05-09,
18-05-10,
18-05-11,
18-05-12,32
18-05-13,0.5
18-05-14,
18-05-15,0
18-05-16,45
18-05-17,83
18-05-18,6.5
18-05-19,
18-05-20,
18-05-21,
18-05-22,12.5
18-05-23,6.5
18-05-24,
18-05-25,
18-05-26,
18-05-27,
18-05-28,
18-05-29,1
18-05-30,0
18-05-31,
18-06-01,
18-06-02,
18-06-03,
18-06-04,
18-06-05,
18-06-06,
18-06-07,
18-06-08,
18-06-09,0.5
18-06-10,0.5
18-06-11,5
18-06-12,0
18-06-13,0
18-06-14,29
18-06-15,16.5
18-06-16,
18-06-17,
18-06-18,
18-06-19,
18-06-20,
18-06-21,
18-06-22,
18-06-23,
18-06-24,
18-06-25,
18-06-26,71.5
18-06-27,1
18-06-28,26.5
18-06-29,6.5
18-06-30,14.5
18-07-01,83.5
18-07-02,59.5
18-07-03,0.1
18-07-04,
18-07-05,0.5
18-07-06,
18-07-07,
18-07-08,
18-07-09,14
18-07-10,16.5
18-07-11,3
18-07-12,1
18-07-13,
18-07-14,0
18-07-15,
18-07-16,
18-07-17,
18-07-18,
18-07-19,
18-07-20,
18-07-21,
18-07-22,
18-07-23,
18-07-24,
18-07-25,
18-07-26,
18-07-27,
18-07-28,7.5
18-07-29,
18-07-30,
18-07-31,
18-08-01,
18-08-02,
18-08-03,
18-08-04,
18-08-05,2
18-08-06,6.5
18-08-07,
18-08-08,
18-08-09,2
18-08-10,
18-08-11,
18-08-12,5
18-08-13,1
18-08-14,
18-08-15,1
18-08-16,
18-08-17,
18-08-18,
18-08-19,
18-08-20,0
18-08-21,5
18-08-22,
18-08-23,3
18-08-24,7.5
18-08-25,
18-08-26,2
18-08-27,19.5
18-08-28,96.5
18-08-29,42
18-08-30,9.5
18-08-31,0.1
18-09-01,
18-09-02,
18-09-03,34.5
18-09-04,
18-09-05,
18-09-06,1
18-09-07,0.5
18-09-08,
18-09-09,
18-09-10,
18-09-11,
18-09-12,
18-09-13,
18-09-14,0.5
18-09-15,0.2
18-09-16,2
18-09-17,0.1
18-09-18,
18-09-19,0.2
18-09-20,5
18-09-21,18
18-09-22,6.5
18-09-23,0
18-09-24,
18-09-25,
18-09-26,
18-09-27,
18-09-28,
18-09-29,
18-09-30,
18-10-01,0
18-10-02,
18-10-03,
18-10-04,
18-10-05,36.5
18-10-06,55.5
18-10-07,
18-10-08,
18-10-09,0
18-10-10,7
18-10-11,
18-10-12,
18-10-13,
18-10-14,
18-10-15,
18-10-16,
18-10-17,
18-10-18,
18-10-19,
18-10-20,
18-10-21,
18-10-22,
18-10-23,5
18-10-24,
18-10-25,
18-10-26,11
18-10-27,
18-10-28,5.5
18-10-29,0
18-10-30,0
18-10-31,0
18-11-01,
18-11-02,
18-11-03,
18-11-04,
18-11-05,
18-11-06,
18-11-07,2
18-11-08,64
18-11-09,1
18-11-10,0
18-11-11,0
18-11-12,
18-11-13,
18-11-14,
