일자,기온(°C),습도(%rh),체감온도(°C)
18-05-01,23.2,63.4,24.5
18-05-02,19.7,76,21.8
18-05-03,14.1,60.6,15.3
18-05-04,19.8,29.9,18.5
18-05-05,24.5,30.2,22.9
18-05-06,20.4,64.5,21.8
18-05-07,25.3,37.2,24.3
18-05-08,22.9,38.6,22.2
18-05-09,21.3,37.2,20.6
18-05-10,21.2,47.8,21.3
18-05-11,21.2,47.9,21.3
18-05-12,15.8,97.4,19.2
18-05-13,20,63.5,21.3
18-05-14,24.1,59,25
18-05-15,29,42.2,28.3
18-05-16,22.9,93.3,26.3
18-05-17,23,94.8,26.5
18-05-18,19.3,97.3,22.8
18-05-19,24.3,38.5,23.5
18-05-20,22.5,23.3,20.3
18-05-21,23.5,40,22.9
18-05-22,23,56.1,23.7
18-05-23,22.7,40.9,22.2
18-05-24,23.6,38.4,22.8
18-05-25,26,26.4,23.8
18-05-26,29,36,27.7
18-05-27,24.5,40,23.8
18-05-28,28.5,44.7,28.1
18-05-29,25.8,55.4,26.4
18-05-30,24.5,60.1,25.5
18-05-31,27.6,40.3,26.8
18-06-01,30,37,28.7
18-06-02,29.8,29,27.6
18-06-03,30.4,29.7,28.2
18-06-04,26.7,42,26.1
18-06-05,29.1,38.8,28.1
18-06-06,27.6,53.2,28
18-06-07,29.1,46.2,28.8
18-06-08,26.9,50.6,27
18-06-09,29.9,38.4,28.8
18-06-10,24.9,50.9,25.2
18-06-11,23.5,59.7,24.4
18-06-12,27.1,42.2,26.5
18-06-13,26.9,48.7,26.9
18-06-14,25,59.8,26
18-06-15,26.9,43.1,26.4
18-06-16,28.6,43.9,28.1
18-06-17,27.5,50.7,27.7
18-06-18,30.2,41.3,29.4
18-06-19,26.9,47.1,26.8
18-06-20,28.4,49.1,28.4
18-06-21,28.2,46.6,28
18-06-22,31,34.7,29.4
18-06-23,28.8,44.5,28.3
18-06-24,31.8,36.2,30.3
18-06-25,32.5,38.5,31.3
18-06-26,26.9,63.8,28.2
18-06-27,25.5,69.2,27.2
18-06-28,27.1,72.7,29.1
18-06-29,28.9,59.5,29.8
18-06-30,27.6,79.3,30.1
18-07-01,22.4,96,25.9
18-07-02,25.2,90.8,28.4
18-07-03,32.4,55.1,32.9
18-07-04,31.1,62.9,32.3
18-07-05,29,67.5,30.6
18-07-06,26.9,52.6,27.3
18-07-07,29.2,45.5,28.8
18-07-08,28,42.6,27.4
18-07-09,24.2,61.2,25.3
18-07-10,26.5,79.2,29
18-07-11,29.3,70.1,31.1
18-07-12,28.2,75.3,30.4
18-07-13,30.6,63.8,31.9
18-07-14,31.8,58.3,32.6
18-07-15,33.1,53.5,33.4
18-07-16,33.4,49.8,33.4
18-07-17,32.1,52.1,32.3
18-07-18,32.8,50.1,32.8
18-07-19,33.9,46.4,33.5
18-07-20,34.3,47.8,34.1
18-07-21,36.6,38.1,35.2
18-07-22,37.9,33.1,35.7
18-07-23,35.7,43.3,34.9
18-07-24,36.8,42.8,35.9
18-07-25,34,54.9,34.5
18-07-26,33.6,57,34.3
18-07-27,35.3,53.6,35.7
18-07-28,34.1,72.5,36.2
18-07-29,36.3,37.5,34.8
18-07-30,36.8,38.8,35.4
18-07-31,38.1,37.4,36.5
18-08-01,39.4,41.2,38.3
18-08-02,37.8,42.3,36.8
18-08-03,37.9,42.6,37
18-08-04,34.7,49.2,34.6
18-08-05,33.7,56.4,34.3
18-08-06,35.2,53.3,35.5
18-08-07,35.8,44.8,35.2
18-08-08,34.9,46.4,34.5
18-08-09,32.5,64.3,33.8
18-08-10,36.5,40.8,35.4
18-08-11,35.7,39.9,34.5
18-08-12,35.2,44.6,34.6
18-08-13,34.3,50,34.3
18-08-14,36.8,41.2,35.8
18-08-15,37.9,37.1,36.3
18-08-16,35.6,38.6,34.3
18-08-17,33.8,26.2,30.9
18-08-18,32.1,31.8,30.1
18-08-19,34.4,29.1,31.9
18-08-20,33.2,42.9,32.5
18-08-21,31,50.8,31.1
18-08-22,37.6,35.3,35.7
18-08-23,32.2,54.6,32.6
18-08-24,26.2,77.4,28.5
18-08-25,28.9,56.7,29.6
18-08-26,29,44.3,28.5
18-08-27,24.8,84.2,27.6
18-08-28,25.3,96.4,29
18-08-29,27.3,74.2,29.4
18-08-30,28.1,67.7,29.7
18-08-31,29.9,49.1,29.9
18-09-01,30.8,43.5,30.2
18-09-02,29.3,47,29.1
18-09-03,25.5,92.3,28.9
18-09-04,27.4,53.3,27.8
18-09-05,28.4,44.5,28
18-09-06,27.9,54.1,28.4
18-09-07,25.5,47.8,25.5
18-09-08,27.4,36.9,26.3
18-09-09,28.8,32.3,27.1
18-09-10,28.4,37.1,27.2
18-09-11,26.1,40.7,25.4
18-09-12,28,42.8,27.4
18-09-13,28.2,49.1,28.2
18-09-14,26.8,55.9,27.4
18-09-15,25.9,66.6,27.4
