일자,기온(°C),풍속(m/s),체감온도(°C)
18-01-01,-4.6,5.8,-7.2
18-01-02,-4.1,15.1,-9.5
18-01-03,-6.4,16.9,-12.7
18-01-04,-7.7,14.4,-13.8
18-01-05,-5.5,7.9,-9.2
18-01-06,-6,7.2,-9.5
18-01-07,-5.6,7.6,-9.2
18-01-08,-0.9,24.5,-7
18-01-09,-6,19.4,-12.7
18-01-10,-10.2,18.4,-17.8
18-01-11,-13,14.8,-20.4
18-01-12,-15,13.3,-22.4
18-01-13,-6.4,8.6,-10.5
18-01-14,-3.9,10.1,-8
18-01-15,1.8,5.4,0.3
18-01-16,1.1,6.5,-0.9
18-01-17,3.2,11.2,0.2
18-01-18,0.7,14.8,-3.5
18-01-19,-2.4,9,-5.9
18-01-20,-0.2,8.3,-3.1
18-01-21,-3.1,6.5,-5.8
18-01-22,-5.2,18.7,-11.6
18-01-23,-14.6,20.5,-23.8
18-01-24,-16.2,19.8,-25.6
18-01-25,-16.4,20.5,-26.1
18-01-26,-17.8,21.6,-28.1
18-01-27,-15.5,8.3,-21.1
18-01-28,-8.8,14,-15
18-01-29,-10.5,16.2,-17.7
18-01-30,-11.3,7.6,-15.8
18-01-31,-5.2,6.1,-8.1
18-02-01,-7.7,10.4,-12.6
18-02-02,-7.5,8.6,-11.8
18-02-03,-9.5,24.1,-18
18-02-04,-12.2,22.3,-21.1
18-02-05,-11.6,16.2,-19
18-02-06,-12.8,18.7,-21.1
18-02-07,-12.4,9.7,-18
18-02-08,-9.6,6.1,-13.1
18-02-09,-5.2,5,-7.5
18-02-10,-5.6,20.9,-12.5
18-02-11,-9.2,12.2,-15
18-02-12,-8.6,20.2,-16.1
18-02-13,-6.3,11.2,-11.2
18-02-14,-0.7,23,-6.6
18-02-15,-3.7,11.5,-8.2
18-02-16,-2.4,23,-8.7
18-02-17,-7,15.8,-13.2
18-02-18,-4.5,11.2,-9
18-02-19,-1.5,7.9,-4.5
18-02-20,-1.3,19.4,-6.8
18-02-21,-4.1,15.5,-9.6
18-02-22,-2.9,9.7,-6.7
18-02-23,0.7,11.2,-2.8
18-02-24,0.4,16.9,-4.3
18-02-25,-0.1,12.2,-4
18-02-26,-3,5.4,-5.2
18-02-27,0.6,4.3,-0.6
18-02-28,1.9,14,-1.9
18-03-01,-4,24.5,-11
18-03-02,-6,11.9,-11
18-03-03,0,8.3,-2.8
18-03-04,7.7,13,5.4
18-03-05,1.8,10.8,-1.4
18-03-06,-0.7,6.8,-3.1
18-03-07,2.3,13.3,-1.3
18-03-08,3,15.8,-0.8
18-03-09,2.9,14,-0.7
18-03-10,1.4,9,-1.4
18-03-11,2.9,10.1,0.1
18-03-12,2.3,5.8,0.7
18-03-13,5.2,6.5,3.8
18-03-14,,,
18-03-15,9.3,18,6.7
18-03-16,3.6,14.4,0.1
18-03-17,0.6,5.8,-1.3
18-03-18,6,12.2,3.4
18-03-19,6.5,17.6,3.2
18-03-20,1.8,18,-2.7
18-03-21,1.3,16.2,-3
18-03-22,0.7,11.9,-2.9
18-03-23,1.8,8.6,-0.8
18-03-24,4.8,9.7,2.5
18-03-25,4.6,6.5,3.1
18-03-26,5.5,11.2,3
18-03-27,7.7,7.6,6.4
18-03-28,9.4,10.1,7.9
18-03-29,,,
18-03-30,,,
18-03-31,,,
18-04-01,,,
18-04-02,,,
18-04-03,,,
18-04-04,10,16.6,7.7
18-04-05,6.7,16.9,3.6
18-04-06,3.2,23.4,-1.6
18-04-07,1.6,26.3,-4
18-04-08,2.1,15.5,-1.9
18-04-09,0.6,6.8,-1.6
18-04-10,6.9,6.5,5.8
18-04-11,8.8,12.6,6.8
18-04-12,6.9,9,5.1
18-04-13,8.6,7.2,7.5
18-04-14,8,15.5,5.4
18-04-15,6.2,11.5,3.8
18-04-16,4.9,5.8,3.7
18-04-17,6.8,6.5,5.6
18-04-18,6.7,7.6,5.2
18-04-19,8,7.2,6.8
18-04-20,,,
18-04-21,,,
18-04-22,,,
18-04-23,8.5,13.7,6.2
18-04-24,9.5,9,8.2
18-04-25,5.7,4,5.3
18-04-26,10,5.4,9.6
18-04-27,9.9,9,8.7
18-04-28,,,
18-04-29,9.4,5.8,8.8
18-04-30,,,
18-05-01,,,
18-05-02,8.8,16.6,6.2
18-05-03,7,9.4,5.2
18-05-04,9,9.4,7.5
18-05-05,,,
18-05-06,,,
18-05-07,,,
18-05-08,,,
18-05-09,9.2,6.1,8.5
18-05-10,,,
18-05-11,,,
18-05-12,,,
18-05-13,,,
18-05-14,,,
18-05-15,,,
18-05-16,,,
18-05-17,,,
18-05-18,,,
18-05-19,,,
18-05-20,,,
18-05-21,,,
18-05-22,,,
18-05-23,,,
18-05-24,,,
18-05-25,,,
18-05-26,,,
18-05-27,,,
18-05-28,,,
18-05-29,,,
18-05-30,,,
18-05-31,,,
18-06-01,,,
18-06-02,,,
18-06-03,,,
18-06-04,,,
18-06-05,,,
18-06-06,,,
18-06-07,,,
18-06-08,,,
18-06-09,,,
18-06-10,,,
18-06-11,,,
18-06-12,,,
18-06-13,,,
18-06-14,,,
18-06-15,,,
18-06-16,,,
18-06-17,,,
18-06-18,,,
18-06-19,,,
18-06-20,,,
18-06-21,,,
18-06-22,,,
