,측정일시,광진구오존,광진구미세먼지,동대문구오존,동대문구미세먼지,성동구오존,성동구미세먼지,중랑구오존,중랑구미세먼지
0,20180101,0.012,42.0,0.013,46.0,0.009,48.0,0.01,48.0
1,20180102,0.011,43.0,0.012,43.0,0.009,42.0,0.009,45.0
2,20180103,0.017,34.0,0.017,37.0,0.014,37.0,0.015,39.0
3,20180104,0.014,44.0,0.01,48.0,0.008,46.0,0.011,52.0
4,20180105,0.008,64.0,0.009,65.0,0.006,59.0,0.006,67.0
5,20180106,0.009,54.0,0.016,50.0,0.011,46.0,0.009,53.0
6,20180107,0.005,56.0,0.005,58.0,0.004,56.0,0.005,55.0
7,20180108,0.008,63.0,0.007,59.0,0.006,57.0,0.006,56.0
8,20180109,0.023,40.0,0.021,45.0,0.017,43.0,0.02,45.0
9,20180110,0.022,32.0,0.023,37.0,0.017,36.0,0.02,41.0
10,20180111,0.02,33.0,0.02,37.0,0.015,34.0,0.018,37.0
11,20180112,0.016,24.0,0.019,26.0,0.013,25.0,0.012,29.0
12,20180113,0.004,55.0,0.003,61.0,0.003,52.0,0.003,54.0
13,20180114,0.011,74.0,0.007,76.0,0.007,66.0,0.011,72.0
14,20180115,0.01,73.0,0.009,79.0,0.006,72.0,0.009,73.0
15,20180116,0.007,109.0,0.004,124.0,0.003,109.0,0.005,116.0
16,20180117,0.006,119.0,0.008,125.0,0.004,114.0,0.007,116.0
17,20180118,0.016,86.0,0.015,96.0,0.01,89.0,0.013,97.0
18,20180119,0.017,61.0,0.016,65.0,0.011,64.0,0.016,66.0
19,20180120,0.014,101.0,0.012,110.0,0.01,105.0,0.012,109.0
20,20180121,0.015,64.0,0.013,65.0,0.009,63.0,0.017,66.0
21,20180122,0.008,48.0,0.007,53.0,0.005,53.0,0.008,54.0
22,20180123,0.029,25.0,0.03,28.0,0.021,24.0,0.025,29.0
23,20180124,0.027,29.0,0.026,29.0,0.023,32.0,0.023,33.0
24,20180125,0.026,24.0,0.023,21.0,0.021,26.0,0.021,22.0
25,20180126,0.024,33.0,0.021,30.0,0.02,33.0,0.018,30.0
26,20180127,0.01,47.0,0.008,45.0,0.007,49.0,0.01,45.0
27,20180128,0.021,34.0,0.02,27.0,0.02,32.0,0.017,30.0
28,20180129,0.025,46.0,0.02,43.0,0.02,51.0,0.022,41.0
29,20180130,0.01,44.0,0.007,39.0,0.007,44.0,0.008,39.0
30,20180131,0.008,43.0,0.01,36.0,0.007,44.0,0.008,35.0
31,20180201,0.011,41.0,0.01,36.0,0.008,43.0,0.009,34.0
32,20180202,0.007,56.0,0.007,53.0,0.004,59.0,0.008,51.0
33,20180203,0.025,40.0,0.019,34.0,0.019,40.0,0.021,34.0
34,20180204,0.029,32.0,0.021,30.0,0.023,34.0,0.024,29.0
35,20180205,0.027,28.0,0.02,23.0,0.018,32.0,0.021,23.0
36,20180206,0.026,32.0,0.019,28.0,0.021,34.0,0.022,28.0
37,20180207,0.011,43.0,0.01,39.0,0.01,43.0,0.01,39.0
38,20180208,0.006,54.0,0.005,50.0,0.004,56.0,0.006,49.0
39,20180209,0.004,67.0,0.005,69.0,0.004,69.0,0.005,63.0
40,20180210,0.032,77.0,0.017,72.0,0.015,82.0,0.017,65.0
