,일자,강수량(mm),기온_겨울,풍속(m/s),체감온도_겨울,기온_여름,습도(%rh),체감온도_여름
0,18-01-01,0.0,-4.6,5.8,-7.2,0.0,0.0,0.0
1,18-01-02,0.0,-4.1,15.1,-9.5,0.0,0.0,0.0
2,18-01-03,0.0,-6.4,16.9,-12.7,0.0,0.0,0.0
3,18-01-04,0.0,-7.7,14.4,-13.8,0.0,0.0,0.0
4,18-01-05,0.0,-5.5,7.9,-9.2,0.0,0.0,0.0
5,18-01-06,0.0,-6.0,7.2,-9.5,0.0,0.0,0.0
6,18-01-07,0.0,-5.6,7.6,-9.2,0.0,0.0,0.0
7,18-01-08,0.9,-0.9,24.5,-7.0,0.0,0.0,0.0
8,18-01-09,0.5,-6.0,19.4,-12.7,0.0,0.0,0.0
9,18-01-10,0.3,-10.2,18.4,-17.8,0.0,0.0,0.0
10,18-01-11,0.0,-13.0,14.8,-20.4,0.0,0.0,0.0
11,18-01-12,0.0,-15.0,13.3,-22.4,0.0,0.0,0.0
12,18-01-13,0.4,-6.4,8.6,-10.5,0.0,0.0,0.0
13,18-01-14,0.0,-3.9,10.1,-8.0,0.0,0.0,0.0
14,18-01-15,0.2,1.8,5.4,0.3,0.0,0.0,0.0
15,18-01-16,0.0,1.1,6.5,-0.9,0.0,0.0,0.0
16,18-01-17,0.0,3.2,11.2,0.2,0.0,0.0,0.0
17,18-01-18,0.0,0.7,14.8,-3.5,0.0,0.0,0.0
18,18-01-19,0.0,-2.4,9.0,-5.9,0.0,0.0,0.0
19,18-01-20,0.0,-0.2,8.3,-3.1,0.0,0.0,0.0
20,18-01-21,0.0,-3.1,6.5,-5.8,0.0,0.0,0.0
21,18-01-22,3.3,-5.2,18.7,-11.6,0.0,0.0,0.0
22,18-01-23,0.0,-14.6,20.5,-23.8,0.0,0.0,0.0
23,18-01-24,0.0,-16.2,19.8,-25.6,0.0,0.0,0.0
24,18-01-25,0.0,-16.4,20.5,-26.1,0.0,0.0,0.0
25,18-01-26,0.0,-17.8,21.6,-28.1,0.0,0.0,0.0
26,18-01-27,0.0,-15.5,8.3,-21.1,0.0,0.0,0.0
27,18-01-28,0.0,-8.8,14.0,-15.0,0.0,0.0,0.0
28,18-01-29,0.0,-10.5,16.2,-17.7,0.0,0.0,0.0
29,18-01-30,2.9,-11.3,7.6,-15.8,0.0,0.0,0.0
30,18-01-31,0.0,-5.2,6.1,-8.1,0.0,0.0,0.0
31,18-02-01,0.0,-7.7,10.4,-12.6,0.0,0.0,0.0
32,18-02-02,0.0,-7.5,8.6,-11.8,0.0,0.0,0.0
33,18-02-03,0.5,-9.5,24.1,-18.0,0.0,0.0,0.0
34,18-02-04,0.0,-12.2,22.3,-21.1,0.0,0.0,0.0
35,18-02-05,0.0,-11.6,16.2,-19.0,0.0,0.0,0.0
36,18-02-06,0.0,-12.8,18.7,-21.1,0.0,0.0,0.0
37,18-02-07,0.0,-12.4,9.7,-18.0,0.0,0.0,0.0
38,18-02-08,0.0,-9.6,6.1,-13.1,0.0,0.0,0.0
39,18-02-09,0.0,-5.2,5.0,-7.5,0.0,0.0,0.0
40,18-02-10,0.0,-5.6,20.9,-12.5,0.0,0.0,0.0
41,18-02-11,0.0,-9.2,12.2,-15.0,0.0,0.0,0.0
42,18-02-12,0.0,-8.6,20.2,-16.1,0.0,0.0,0.0
43,18-02-13,0.0,-6.3,11.2,-11.2,0.0,0.0,0.0
